"timeMillisSpent","scoreCalculationSpeed"
1000,89287
2000,81020
3000,80604
4000,87559
5000,89355
6000,91894
7000,92312
8000,92787
9000,88191
10000,91776
11000,94644
12000,98152
13000,91658
14000,99640
15000,96220
16000,96410
17001,98033
18000,95802
19000,95963
20000,98618
21000,96023
22000,101746
23000,104986
24001,33662
25000,60672
26000,89802
27000,100524
28000,98006
29000,97109
30000,95013
31000,96362
32000,91667
33000,97447
34001,101738
35001,105368
36000,108684
37000,103927
38000,104667
39000,100169
40000,96583
41000,100563
42000,103691
43000,106840
44000,100250
45000,102345
46000,108051
47000,86126
48000,102669
49002,68974
50000,88712
51000,100541
52000,101408
53000,98585
54000,102089
55000,105802
56000,105039
57000,103947
58000,101390
59000,96708
60000,107419
